Date,Open,High,Low,Close,Adj Close,Volume
2020-03-27,157.910004,170.979996,156.000000,164.160004,164.160004,3862300
2020-03-30,170.789993,171.000000,159.520004,163.559998,163.559998,3627200
2020-03-31,159.860001,161.977005,150.050003,155.009995,155.009995,3186600
2020-04-01,153.500000,166.850006,151.100006,162.529999,162.529999,3191100
2020-04-02,161.550003,166.750000,154.470001,159.320007,159.320007,2340000
2020-04-03,156.509995,162.479996,155.009995,156.210007,156.210007,1467400
2020-04-06,150.000000,151.796005,143.070007,150.130005,150.130005,2679400
2020-04-07,143.880005,147.110001,138.199997,141.250000,141.250000,3680100
2020-04-08,141.634995,143.500000,135.520004,139.100006,139.100006,2822800
2020-04-09,138.270004,148.250000,136.404999,146.660004,146.660004,2540300
2020-04-13,150.050003,156.110001,149.160004,154.130005,154.130005,2279800
2020-04-14,156.690002,160.990005,151.563004,157.330002,157.330002,2401600
2020-04-15,160.889999,172.419998,156.059998,171.770004,171.770004,5345000
2020-04-16,166.500000,174.429993,165.000000,174.250000,174.250000,3547400
2020-04-17,166.996994,174.070007,165.380005,173.270004,173.270004,3244800
2020-04-20,171.690002,183.500000,170.559998,181.460007,181.460007,2848600
2020-04-21,184.759995,189.464996,165.600006,172.389999,172.389999,3276300
2020-04-22,174.259995,183.110001,174.000000,179.649994,179.649994,2116900
2020-04-23,181.000000,189.970001,179.649994,187.729996,187.729996,2442300
2020-04-24,190.119995,196.509995,187.750000,193.529999,193.529999,2845900
2020-04-27,196.029999,203.850006,193.649994,194.889999,194.889999,3635400
2020-04-28,195.610001,195.809998,172.679993,181.149994,181.149994,5505100
2020-04-29,175.000000,181.750000,173.000000,175.100006,175.100006,3923700
2020-04-30,166.649994,169.789993,155.250000,164.589996,164.589996,5573600
2020-05-01,162.100006,170.289993,160.389999,169.429993,169.429993,2632600
2020-05-04,170.710007,175.179993,167.065002,174.300003,174.300003,2724000
2020-05-05,176.000000,177.520004,167.300003,169.589996,169.589996,2444600
2020-05-06,171.179993,180.130005,169.619995,176.009995,176.009995,1916800
2020-05-07,177.669998,180.809998,173.699997,174.929993,174.929993,1631100
2020-05-08,175.000000,178.449997,168.479004,176.500000,176.500000,2209800
2020-05-11,178.600006,193.990005,177.559998,190.619995,190.619995,3259900
2020-05-12,191.880005,194.360001,183.699997,184.149994,184.149994,2013100
2020-05-13,189.580002,196.190002,179.059998,188.190002,188.190002,3377600
2020-05-14,185.009995,185.949997,172.360001,179.539993,179.539993,5225700
2020-05-15,176.899994,184.679993,175.449997,184.229996,184.229996,4279100
2020-05-18,180.500000,185.550003,170.179993,172.199997,172.199997,4100400
2020-05-19,175.800003,180.350006,172.539993,175.660004,175.660004,2534500
2020-05-20,177.960007,179.940002,168.830002,171.270004,171.270004,2799100
2020-05-21,172.300003,178.059998,169.020004,174.990005,174.990005,2328500
2020-05-22,176.339996,176.339996,171.220001,174.179993,174.179993,1460200
2020-05-26,173.250000,174.000000,161.440002,164.470001,164.470001,3447700
2020-05-27,158.419998,162.949997,147.710007,162.639999,162.639999,4784800
2020-05-28,160.550003,170.740005,160.404999,166.899994,166.899994,2576500
2020-05-29,170.929993,174.369995,168.509995,174.059998,174.059998,5770600
2020-06-01,172.600006,177.800003,168.350006,173.619995,173.619995,2495100
2020-06-02,172.500000,172.679993,165.110001,169.869995,169.869995,2410200
2020-06-03,166.789993,168.869995,162.699997,164.589996,164.589996,2506200
2020-06-04,163.000000,166.679993,154.479996,157.149994,157.149994,3343100
2020-06-05,151.300003,163.899994,149.000000,161.649994,161.649994,2950700
2020-06-08,160.000000,168.699997,158.220001,166.350006,166.350006,2233700
2020-06-09,169.570007,170.229996,166.449997,168.830002,168.830002,1794700
2020-06-10,170.000000,177.649994,169.729996,176.710007,176.710007,2591300
2020-06-11,178.000000,187.669998,173.240005,173.729996,173.729996,4216700
2020-06-12,177.360001,179.500000,167.440002,172.270004,172.270004,2125400
2020-06-15,175.210007,188.279999,174.199997,188.279999,188.279999,3415800
2020-06-16,183.910004,189.268005,182.699997,188.410004,188.410004,2424900
2020-06-17,189.000000,195.410004,188.029999,192.059998,192.059998,2484700
2020-06-18,192.399994,199.580002,188.149994,191.979996,191.979996,2611500
2020-06-19,192.960007,203.460007,192.500000,201.529999,201.529999,4819000
2020-06-22,204.960007,208.630005,201.000000,204.940002,204.940002,2659300
2020-06-23,206.000000,207.300003,197.145004,198.080002,198.080002,2653800
2020-06-24,198.479996,203.960007,194.410004,197.009995,197.009995,2679200
2020-06-25,196.509995,202.979996,195.320007,201.699997,201.699997,2755900
2020-06-26,203.059998,204.000000,192.500000,193.259995,193.259995,10468400
2020-06-29,194.000000,195.029999,184.309998,187.350006,187.350006,2830800
2020-06-30,188.380005,192.220001,187.669998,190.839996,190.839996,1585600
2020-07-01,189.899994,201.330002,188.899994,198.850006,198.850006,1986300
2020-07-02,202.789993,210.860001,200.509995,208.889999,208.889999,2416100
2020-07-06,212.369995,219.860001,211.309998,218.000000,218.000000,2402800
2020-07-07,219.550003,223.729996,214.610001,217.259995,217.259995,2245900
2020-07-08,220.800003,225.184998,219.130005,224.529999,224.529999,1457700
2020-07-09,226.550003,229.414993,221.561996,228.429993,228.429993,1387300
2020-07-10,228.000000,230.399994,224.199005,228.979996,228.979996,1202600
2020-07-13,233.000000,237.759995,215.210007,218.449997,218.449997,2180900
2020-07-14,220.399994,224.500000,203.500000,209.220001,209.220001,3039400
2020-07-15,209.559998,222.690002,203.339996,221.830002,221.830002,2425800
2020-07-16,219.059998,220.990005,213.210007,218.559998,218.559998,1362900
2020-07-17,218.559998,222.380005,216.339996,217.770004,217.770004,1032900
2020-07-20,220.210007,228.089996,218.940002,227.270004,227.270004,1578000
2020-07-21,230.339996,231.449997,224.050003,226.660004,226.660004,1351000
2020-07-22,228.820007,230.860001,220.350006,223.979996,223.979996,1078800
2020-07-23,226.839996,230.276001,216.389999,219.880005,219.880005,1296200
2020-07-24,214.710007,218.240005,206.220001,212.850006,212.850006,1302600
2020-07-27,215.000000,217.815002,208.750000,212.750000,212.750000,1612900
2020-07-28,213.500000,218.054993,211.789993,212.679993,212.679993,967900
2020-07-29,216.000000,219.800003,212.940002,218.250000,218.250000,1862900
2020-07-30,211.839996,239.440002,210.949997,237.070007,237.070007,3985700
2020-07-31,240.000000,240.000000,230.009995,237.630005,237.630005,2478700
2020-08-03,234.070007,239.600006,234.000000,237.139999,237.139999,1741400
2020-08-04,240.000000,253.000000,235.570999,249.419998,249.419998,2923500
2020-08-05,238.169998,239.000000,199.460007,202.009995,202.009995,27423400
2020-08-06,216.000000,219.750000,209.000000,212.500000,212.500000,10382100
2020-08-07,215.000000,215.990005,191.000000,193.720001,193.720001,9661000
2020-08-10,197.009995,197.350006,185.000000,193.740005,193.740005,9062200
2020-08-11,190.000000,191.100006,182.509995,183.750000,183.750000,6227800
2020-08-12,185.089996,188.110001,181.751999,185.089996,185.089996,4050500
2020-08-13,187.809998,198.205002,187.500000,192.080002,192.080002,4345200
2020-08-14,192.500000,194.600006,186.119995,187.500000,187.500000,3569700
2020-08-17,196.550003,206.330002,190.619995,205.020004,205.020004,6643000
2020-08-18,211.509995,218.608994,207.524994,217.279999,217.279999,6587700
2020-08-19,217.389999,219.809006,210.199997,216.509995,216.509995,4745900
2020-08-20,213.630005,218.800003,213.264999,218.410004,218.410004,3057700
2020-08-21,219.750000,233.830002,219.699997,223.410004,223.410004,6260300
2020-08-24,224.949997,225.910004,206.860001,210.630005,210.630005,5660600
2020-08-25,209.740005,215.085007,206.000000,212.009995,212.009995,3268500
2020-08-26,210.809998,214.889999,207.636002,214.570007,214.570007,3775500
2020-08-27,212.449997,218.634995,208.149994,215.770004,215.770004,2796900
2020-08-28,217.500000,218.199997,207.360001,208.570007,208.570007,3291300
2020-08-31,210.330002,216.350006,209.500000,215.690002,215.690002,3461600
2020-09-01,219.330002,224.919998,216.779999,224.199997,224.199997,3028600
2020-09-02,227.800003,227.850006,212.100006,223.149994,223.149994,3060200
2020-09-03,213.850006,219.324997,200.145004,203.020004,203.020004,4899700
2020-09-04,196.949997,203.860001,181.000000,198.289993,198.289993,4980100
2020-09-08,189.500000,201.110001,188.000000,192.850006,192.850006,2927800
2020-09-09,197.259995,201.940002,196.421997,200.770004,200.770004,2253400
2020-09-10,202.220001,206.970001,196.561005,198.139999,198.139999,2045100
2020-09-11,199.410004,200.559998,187.610001,189.910004,189.910004,2675100
2020-09-14,192.520004,198.250000,191.539993,193.360001,193.360001,1804500
2020-09-15,195.600006,197.809998,193.330002,194.710007,194.710007,1482000
2020-09-16,195.000000,198.869995,189.779999,193.520004,193.520004,2493300
2020-09-17,187.419998,199.979996,186.100006,199.279999,199.279999,3457400
2020-09-18,200.889999,209.440002,198.830002,205.429993,205.429993,4441300
2020-09-21,203.000000,204.789993,193.539993,202.660004,202.660004,2898600
2020-09-22,205.490005,216.039993,201.679993,215.279999,215.279999,3728400
2020-09-23,214.000000,218.539993,207.264999,209.220001,209.220001,2960400
2020-09-24,203.110001,208.220001,199.610001,203.949997,203.949997,1960300
2020-09-25,207.990005,219.419998,206.500000,219.000000,219.000000,3605800
2020-09-28,222.029999,222.029999,212.009995,215.089996,215.089996,2273200
2020-09-29,216.500000,221.934998,213.009995,217.339996,217.339996,2137200
2020-09-30,217.270004,224.940002,214.389999,219.240005,219.240005,2632100
2020-10-01,222.860001,223.740005,218.000000,220.679993,220.679993,1817800
2020-10-02,215.000000,227.949997,213.619995,221.600006,221.600006,2397800
