Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-09-28,97.269997,99.400002,94.419998,96.910004,96.910004,34557700,PTON
2020-09-29,96.839996,102.830002,96.269997,100.470001,100.470001,41245200,PTON
2020-09-30,99.989998,101.879997,98.095001,99.239998,99.239998,19003400,PTON
2020-10-01,99.830002,105.739998,99.305,105.199997,105.199997,26735500,PTON
2020-10-02,105,110.25,104.089996,107.510002,107.510002,29786600,PTON
2020-10-05,107.669998,110.849998,106.110001,110.739998,110.739998,16139400,PTON
2020-10-06,110.779999,113.870003,109.379997,111.309998,111.309998,19411300,PTON
2020-10-07,113.480003,118.440002,113.010002,116.959999,116.959999,22040000,PTON
2020-10-08,118.919998,119.889999,113.699997,115,115,15353600,PTON
2020-10-09,115.709999,123.580002,114.779999,123.019997,123.019997,17601900,PTON
2020-10-12,125.095001,129.410004,122.239998,127.300003,127.300003,20531400,PTON
2020-10-13,127,131.919998,124.309998,130.970001,130.970001,17317700,PTON
2020-10-14,132.110001,135.309998,128.259995,131.440002,131.440002,27235700,PTON
2020-10-15,127.82,137.240005,126.550003,136.429993,136.429993,26759200,PTON
2020-10-16,137.600006,139.75,128.669998,131.330002,131.330002,40455800,PTON
2020-10-19,130.940002,134.570007,126.949997,133.009995,133.009995,24250300,PTON
2020-10-20,133.75,134.550003,130.330002,131.929993,131.929993,12668300,PTON
2020-10-21,132.789993,136.949997,124.279999,124.300003,124.300003,19003700,PTON
2020-10-22,119.75,126.589996,118.610001,120.800003,120.800003,24320500,PTON
2020-10-23,121.099998,123.650002,117.580002,122.529999,122.529999,11544100,PTON
2020-10-26,123.019997,125.650002,116.098,118.099998,118.099998,11917900,PTON
2020-10-27,120.360001,122.533997,118.309998,121.150002,121.150002,8627000,PTON
2020-10-28,122.110001,124.335999,119.559998,122.120003,122.120003,9233800,PTON
2020-10-29,124.300003,124.900002,114.239998,115.910004,115.910004,11407600,PTON
2020-10-30,114.099998,116.209999,109.010002,110.209999,110.209999,10997000,PTON
2020-11-02,112.355003,116.32,110.917999,113.440002,113.440002,8774200,PTON
2020-11-03,113.510002,114.050003,110.129997,111.699997,111.699997,9413600,PTON
2020-11-04,113.989998,118.93,112.959999,118.599998,118.599998,8066200,PTON
2020-11-05,122.934998,126.910004,117.82,126.629997,126.629997,16320200,PTON
2020-11-06,123,132.789993,122.489998,125.459999,125.459999,24201800,PTON
2020-11-09,106.690002,108.480003,94.120003,100.010002,100.010002,42202900,PTON
2020-11-10,103.099998,108.650002,92.029999,105.209999,105.209999,39736600,PTON
2020-11-11,103,107.349998,99.830002,106.209999,106.209999,27922300,PTON
2020-11-12,107.110001,112,106.449997,108.720001,108.720001,17005100,PTON
2020-11-13,109.029999,109.690002,99.5,100.790001,100.790001,16121200,PTON
2020-11-16,97.300003,102.059998,95.860001,101.900002,101.900002,16488700,PTON
2020-11-17,102.330002,102.779999,99.629997,102.489998,102.489998,10050000,PTON
2020-11-18,101.489998,105.559998,100.260002,104.489998,104.489998,11144400,PTON
2020-11-19,104.099998,106.419998,102.779999,105.260002,105.260002,9678900,PTON
2020-11-20,106,112.809998,104.199997,110.900002,110.900002,17323900,PTON
2020-11-23,110.43,113.940002,106.07,112.050003,112.050003,12179800,PTON
2020-11-24,109.459999,110.07,104.150002,105.419998,105.419998,11628100,PTON
2020-11-25,106.290001,108.25,105.559998,106.940002,106.940002,8166100,PTON
2020-11-27,107.330002,109.900002,105.290001,108.980003,108.980003,5602100,PTON
2020-11-30,110.029999,116.519997,105.690002,116.349998,116.349998,13468600,PTON
2020-12-01,113.730003,115.660004,110.300003,112.029999,112.029999,10162300,PTON
2020-12-02,110.830002,117.75,110.199997,113.18,113.18,11614800,PTON
2020-12-03,112.919998,116.25,112.730003,116.199997,116.199997,6989700,PTON
2020-12-04,115.25,115.699997,111.929001,114.449997,114.449997,7346800,PTON
2020-12-07,114.07,117.144997,113.120003,116.629997,116.629997,6044200,PTON
2020-12-08,115.919998,118.550003,113.060997,118.25,118.25,9196200,PTON
2020-12-09,117.650002,120.311996,110.105003,110.790001,110.790001,12106700,PTON
2020-12-10,109.529999,119.129997,108.18,117.989998,117.989998,9688400,PTON
2020-12-11,117.989998,119.440002,114.589996,117.099998,117.099998,6493900,PTON
2020-12-14,118.010002,124.860001,117.75,121.910004,121.910004,14734200,PTON
2020-12-15,122.019997,127.809998,119.779999,127.779999,127.779999,9907000,PTON
2020-12-16,128.699997,134.220001,128.509995,134,134,14646700,PTON
2020-12-17,133.970001,137.669998,133.429993,136.800003,136.800003,10599800,PTON
2020-12-18,137.880005,142,135.600006,139.839996,139.839996,32497800,PTON
2020-12-21,141.794998,144.880005,137.770004,144.389999,144.389999,14272900,PTON
2020-12-22,159.199997,166.229996,155.401001,161.210007,161.210007,40072800,PTON
2020-12-23,160.600006,163.584,154.25,162.759995,162.759995,12869000,PTON
2020-12-24,161.899994,167.369995,161.300003,162.720001,162.720001,6830900,PTON
2020-12-28,164,164.399994,151.669998,152.179993,152.179993,10719000,PTON
2020-12-29,150,154.110001,146.369995,150.100006,150.100006,9340600,PTON
2020-12-30,150.770004,155.199997,148.330002,154.960007,154.960007,6802400,PTON
2020-12-31,155.009995,155.220001,150.619995,151.720001,151.720001,5449200,PTON
2021-01-04,152.509995,152.779999,143.089996,145.960007,145.960007,7911600,PTON
2021-01-05,145.740005,149.779999,144.470001,148.529999,148.529999,4883000,PTON
2021-01-06,144.360001,144.970001,140.738007,143.759995,143.759995,7748300,PTON
2021-01-07,145.651001,154.470001,145.210007,154,154,6583600,PTON
2021-01-08,155.820007,159.029999,152.270004,158.880005,158.880005,6248400,PTON
2021-01-11,156.770996,159.119995,152.009995,152.339996,152.339996,4624000,PTON
2021-01-12,152.582001,157.360001,147.755005,156.039993,156.039993,6313700,PTON
2021-01-13,156.503006,169,156.503006,167.419998,167.419998,10618900,PTON
2021-01-14,166.100006,171.089996,163.960007,165.25,165.25,7498500,PTON
2021-01-15,165.820007,166.080002,157.237,157.809998,157.809998,5833600,PTON
2021-01-19,152.550003,152.938004,144.899994,150.139999,150.139999,10387700,PTON
2021-01-20,153.800003,156.729996,152,155.789993,155.789993,5413700,PTON
2021-01-21,155.779999,159.699997,153.139999,158.130005,158.130005,4351400,PTON
2021-01-22,157.669998,160.410004,155.940002,159.75,159.75,3226100,PTON
2021-01-25,160.850006,166.570007,156.699997,157.139999,157.139999,6611700,PTON
2021-01-26,156.5,158.669998,147.490005,147.789993,147.789993,6664700,PTON
2021-01-27,146.460007,150.639999,139.020996,144.960007,144.960007,7359200,PTON
2021-01-28,145.130005,150.460007,143.419998,145.830002,145.830002,6281500,PTON
2021-01-29,144.970001,149.210007,142.369995,146.130005,146.130005,4580800,PTON
2021-02-01,147.699997,150.300003,144.550003,146.789993,146.789993,5087500,PTON
2021-02-02,148.639999,150.968994,145.005997,147.729996,147.729996,5315400,PTON
2021-02-03,149.509995,150.774994,145.589996,147.169998,147.169998,4095000,PTON
2021-02-04,148.570007,157.830002,148.009995,157.529999,157.529999,11604100,PTON
2021-02-05,149,151.789993,142.699997,148.300003,148.300003,23157400,PTON
2021-02-08,148.837997,149.460007,143.330002,144.990005,144.990005,11373300,PTON
2021-02-09,147.009995,149.919998,145.100006,147.759995,147.759995,7611900,PTON
2021-02-10,148.75,150.5,143.453995,145.039993,145.039993,5936900,PTON
2021-02-11,146.660004,148.039993,144.029999,146.479996,146.479996,4286500,PTON
2021-02-12,145.949997,154.830002,144.880005,154.669998,154.669998,7844200,PTON
2021-02-16,155.5,155.520004,145.718994,145.880005,145.880005,6758500,PTON
2021-02-17,145.169998,145.600006,135.029999,139.229996,139.229996,10626000,PTON
2021-02-18,136.130005,140.660995,135.199997,138.449997,138.449997,5947600,PTON
2021-02-19,139.660004,141.669998,137.850006,139.710007,139.710007,4229600,PTON
2021-02-22,137.320007,138.610001,125.080002,125.75,125.75,9730200,PTON
2021-02-23,122.230003,126.949997,111.940002,126.889999,126.889999,11066000,PTON
2021-02-24,123,127.107002,118.849998,122.720001,122.720001,7718800,PTON
2021-02-25,121.139999,124.559998,113.839996,115.209999,115.209999,7624700,PTON
